Intropic_topleft,Intropic_bottomleft,Intropic_topright,Intropic_bottomright,Step1_topleft,Step1_bottomleft,Step1_topright,Step1_bottomright,Step2_topleft,Step2_bottomleft,Step2_topright,Step2_bottomright,Step3_topleft,Step3_bottomleft,Step3_topright,Step3_bottomright,Step4_topleft,Step4_bottomleft,Step4_bottomleft,Step4_bottomright,Step5_topleft,Step5_bottomleft,Step5_topright,Step5_bottomright,Step6_topleft,Step6_bottomleft,Step6_topright,Step6_bottomright,Step1_audio,Step2_audio,Step3_audio,Step4_audio,Step5_audio,Step6_audio,Test_sentence,ItemNumber,Group,Subgroup
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3dolls.png,Ben_3dolls.png,Cindy.png,Dave.png,Anna_3dolls.png,Ben_3dolls.png,Cindy_3dogs.png,Dave_3dogs.png,Anna.png,Ben_3dolls.png,Cindy_3dogs.png,Dave_3dogs.png,Anna.png,Ben_1doll.png,Cindy_3dogs.png,Dave_3dogs.png,Anna.png,Ben_1doll.png,Cindy_3dogs.png,Dave.png,Anna.png,Ben_1doll.png,Cindy_1dog.png,Dave.png,A6_1.mp3,A6_2.mp3,A6_3.mp3,A6_4.mp3,A6_S5.mp3,A6_S6.mp3,three_dolls.mp3,6,A,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3dolls.png,Ben_3dolls.png,Cindy.png,Dave.png,Anna_3dolls.png,Ben_3dolls.png,Cindy_3dogs.png,Dave_3dogs.png,Anna.png,Ben_3dolls.png,Cindy_3dogs.png,Dave_3dogs.png,Anna.png,Ben_1doll.png,Cindy_3dogs.png,Dave_3dogs.png,Anna.png,Ben_1doll.png,Cindy_3dogs.png,Dave.png,Anna.png,Ben_1doll.png,Cindy_1dog.png,Dave.png,A6_1.mp3,A6_2.mp3,A6_3.mp3,A6_4.mp3,A6_S5.mp3,A6_S6.mp3,all_dolls.mp3,6,A,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3dolls.png,Ben_3dolls.png,Cindy.png,Dave.png,Anna_3dolls.png,Ben_3dolls.png,Cindy_3dogs.png,Dave_3dogs.png,Anna_3dolls.png,Ben.png,Cindy_3dogs.png,Dave_3dogs.png,Anna_1doll.png,Ben.png,Cindy_3dogs.png,Dave_3dogs.png,Anna_1doll.png,Ben.png,Cindy.png,Dave_3dogs.png,Anna_1doll.png,Ben.png,Cindy.png,Dave_1dog.png,B6_1.mp3,B6_2.mp3,B6_3.mp3,B6_4.mp3,B6_S5.mp3,B6_S6.mp3,two_dolls.mp3,6,B,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3dolls.png,Ben_3dolls.png,Cindy.png,Dave.png,Anna_3dolls.png,Ben_3dolls.png,Cindy_3dogs.png,Dave_3dogs.png,Anna_3dolls.png,Ben.png,Cindy_3dogs.png,Dave_3dogs.png,Anna_1doll.png,Ben.png,Cindy_3dogs.png,Dave_3dogs.png,Anna_1doll.png,Ben.png,Cindy.png,Dave_3dogs.png,Anna_1doll.png,Ben.png,Cindy.png,Dave_1dog.png,B6_1.mp3,B6_2.mp3,B6_3.mp3,B6_4.mp3,B6_S5.mp3,B6_S6.mp3,some_dolls.mp3,6,B,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3hamburgers.png,Ben_3hamburgers.png,Cindy.png,Dave.png,Anna_3hamburgers.png,Ben_3hamburgers.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna_3hamburgers.png,Ben.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna_1hamburger.png,Ben.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna_1hamburger.png,Ben.png,Cindy.png,Dave_3hamsters.png,Anna_1hamburger.png,Ben.png,Cindy.png,Dave_1hamster.png,A7_1.mp3,A7_2.mp3,A7_3.mp3,A7_4.mp3,A7_S5.mp3,A7_S6.mp3,some_hamsters.mp3,7,A,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3hamburgers.png,Ben_3hamburgers.png,Cindy.png,Dave.png,Anna_3hamburgers.png,Ben_3hamburgers.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna_3hamburgers.png,Ben.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna_1hamburger.png,Ben.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna_1hamburger.png,Ben.png,Cindy.png,Dave_3hamsters.png,Anna_1hamburger.png,Ben.png,Cindy.png,Dave_1hamster.png,A7_1.mp3,A7_2.mp3,A7_3.mp3,A7_4.mp3,A7_S5.mp3,A7_S6.mp3,two_hamsters.mp3,7,A,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3hamburgers.png,Ben_3hamburgers.png,Cindy.png,Dave.png,Anna_3hamburgers.png,Ben_3hamburgers.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna.png,Ben_3hamburgers.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna.png,Ben_1hamburger.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna.png,Ben_1hamburger.png,Cindy_3hamsters.png,Dave.png,Anna.png,Ben_1hamburger.png,Cindy_1hamster.png,Dave.png,B7_1.mp3,B7_2.mp3,B7_3.mp3,B7_4.mp3,B7_S5.mp3,B7_S6.mp3,all_hamsters.mp3,7,B,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3hamburgers.png,Ben_3hamburgers.png,Cindy.png,Dave.png,Anna_3hamburgers.png,Ben_3hamburgers.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna.png,Ben_3hamburgers.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna.png,Ben_1hamburger.png,Cindy_3hamsters.png,Dave_3hamsters.png,Anna.png,Ben_1hamburger.png,Cindy_3hamsters.png,Dave.png,Anna.png,Ben_1hamburger.png,Cindy_1hamster.png,Dave.png,B7_1.mp3,B7_2.mp3,B7_3.mp3,B7_4.mp3,B7_S5.mp3,B7_S6.mp3,three_hamsters.mp3,7,B,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3chipmunks.png,Ben_3chipmunks.png,Cindy.png,Dave.png,Anna_3chipmunks.png,Ben_3chipmunks.png,Cindy_3chickens.png,Dave_3chickens.png,Anna.png,Ben_3chipmunks.png,Cindy_3chickens.png,Dave_3chickens.png,Anna.png,Ben_1chipmunk.png,Cindy_3chickens.png,Dave_3chickens.png,Anna.png,Ben_1chipmunk.png,Cindy_3chickens.png,Dave.png,Anna.png,Ben_1chipmunk.png,Cindy_1chicken.png,Dave.png,A8_1.mp3,A8_2.mp3,A8_3.mp3,A8_4.mp3,A8_S5.mp3,A8_S6.mp3,two_chickens.mp3,8,A,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3chipmunks.png,Ben_3chipmunks.png,Cindy.png,Dave.png,Anna_3chipmunks.png,Ben_3chipmunks.png,Cindy_3chickens.png,Dave_3chickens.png,Anna.png,Ben_3chipmunks.png,Cindy_3chickens.png,Dave_3chickens.png,Anna.png,Ben_1chipmunk.png,Cindy_3chickens.png,Dave_3chickens.png,Anna.png,Ben_1chipmunk.png,Cindy_3chickens.png,Dave.png,Anna.png,Ben_1chipmunk.png,Cindy_1chicken.png,Dave.png,A8_1.mp3,A8_2.mp3,A8_3.mp3,A8_4.mp3,A8_S5.mp3,A8_S6.mp3,some_chickens.mp3,8,A,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3chipmunks.png,Ben_3chipmunks.png,Cindy.png,Dave.png,Anna_3chipmunks.png,Ben_3chipmunks.png,Cindy_3chickens.png,Dave_3chickens.png,Anna_3chipmunks.png,Ben.png,Cindy_3chickens.png,Dave_3chickens.png,Anna_1chipmunk.png,Ben.png,Cindy_3chickens.png,Dave_3chickens.png,Anna_1chipmunk.png,Ben.png,Cindy.png,Dave_3chickens.png,Anna_1chipmunk.png,Ben.png,Cindy.png,Dave_1chicken.png,B8_1.mp3,B8_2.mp3,B8_3.mp3,B8_4.mp3,B8_S5.mp3,B8_S6.mp3,three_chickens.mp3,8,B,1
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3chipmunks.png,Ben_3chipmunks.png,Cindy.png,Dave.png,Anna_3chipmunks.png,Ben_3chipmunks.png,Cindy_3chickens.png,Dave_3chickens.png,Anna_3chipmunks.png,Ben.png,Cindy_3chickens.png,Dave_3chickens.png,Anna_1chipmunk.png,Ben.png,Cindy_3chickens.png,Dave_3chickens.png,Anna_1chipmunk.png,Ben.png,Cindy.png,Dave_3chickens.png,Anna_1chipmunk.png,Ben.png,Cindy.png,Dave_1chicken.png,B8_1.mp3,B8_2.mp3,B8_3.mp3,B8_4.mp3,B8_S5.mp3,B8_S6.mp3,all_chickens.mp3,8,B,2
Anna.png,Ben.png,Cindy.png,Dave.png,Anna_3peaches.png,Ben_3peaches.png,Cindy.png,Dave.png,Anna_3peaches.png,Ben_3peaches.png,Cindy_3peanuts.png,Dave_3peanuts.png,Anna_3peaches.png,Ben.png,Cindy_3peanuts.png,Dave_3peanuts.png,Anna_1peach.png,Ben.png,Cindy_3peanuts.png,Dave_3peanuts.png,Anna_1peach.png,Ben.png,Cindy.png,Dave_3peanuts.png,Anna_1peach.png,Ben.png,Cindy.png,Dave_1peanut.png,A9_1.mp3,A9_2.mp3,A9_3.mp3,A9_4.mp3,A9_S5.mp3,A9_S6.mp3,some_peanuts.mp3,9,A,1
